dir-442	zh=港島香格里拉大酒店	en=Island Shangri-La, Hong Kong	lat=22.2772027	lng=114.164467
dir-443	zh=逸泰居	en=The Headland	lat=22.2972056	lng=113.9338322
dir-444	zh=中遠酒店	en=Cosco Hotel	lat=22.2857331	lng=114.1320741
dir-445	zh=-	en=Largos Hotel Hong Kong	lat=22.3060236	lng=114.1723148
dir-446	zh=國恩賓館	en=Kwok Yan Hotel	lat=22.317991	lng=114.171851
dir-447	zh=香港尖沙咀凱悅酒店	en=Hyatt Regency Hong Kong, Tsim Sha Tsui	lat=22.2975168	lng=114.1738437
dir-449	zh=六國酒店	en=Luk Kwok Hotel	lat=22.2789029	lng=114.1722694
dir-450	zh=香港置地文華東方酒店	en=The Landmark Mandarin Oriental Hong Kong	lat=22.2808167	lng=114.157722
dir-451	zh=寶軒酒店	en=The Bauhinia Hotel	lat=22.28678	lng=114.1525
dir-453	zh=Y旅舍	en=Y-Loft	lat=22.2628199	lng=114.2368302
dir-454	zh=-	en=Crystal Hostel	lat=22.2962077	lng=114.1730585
dir-455	zh=-	en=Everest Hostel	lat=22.296246	lng=114.1732501
dir-456	zh=-	en=Hostel HK Group	lat=22.2962187	lng=114.1730572
dir-457	zh=-	en=Hotel Skylark	lat=22.2962116	lng=114.1732532
dir-458	zh=-	en=Unique Hotel	lat=22.2962624	lng=114.1730539
dir-459	zh=-	en=Dragon Inn Hotel	lat=22.296587	lng=114.1728001
dir-460	zh=-	en=United Co-operate Hotel (10/F)	lat=22.2965649	lng=114.1728819
dir-461	zh=-	en=United Co-operate Hotel (5/F)	lat=22.2965259	lng=114.1728048
dir-462	zh=-	en=Golden Ocean Hotel	lat=22.2964649	lng=114.1730993
dir-463	zh=-	en=Safari Hotel (5/F)	lat=22.2965566	lng=114.1730961
dir-464	zh=-	en=Safari Hotel (7/F)	lat=22.2964849	lng=114.1730986
dir-470	zh=明愛張奧偉國際賓館	en=Caritas Oswald Cheung International House	lat=22.2495307	lng=114.1497162
dir-471	zh=-	en=JJ Hotel	lat=22.2769861	lng=114.1770789
dir-475	zh=-	en=Apple Hotel	lat=22.2781807	lng=114.184121
dir-476	zh=-	en=Mailley 	lat=22.482183	lng=113.9092003
dir-477	zh=-	en=Hotel LBP	lat=22.2864024	lng=114.1471442
dir-479	zh=凱都酒店	en=Metro Winner Hotel	lat=22.3110083	lng=114.1713169
dir-480	zh=-	en=Heaven Inn GH	lat=22.3061586	lng=114.1703169
dir-482	zh=-	en=The T-hotel	lat=22.2599871	lng=114.1356996
dir-483	zh=上水酒店	en=Sheung Shui Hotel	lat=22.50369	lng=114.12739
dir-484	zh=柏寧酒店	en=The Park Lane Hotel	lat=22.2812255	lng=114.1863914
dir-485	zh=漢口酒店	en=Hankow Hotel	lat=22.31928	lng=114.17251
dir-486	zh=-	en=Cameron Roa 19-21	lat=22.2991336	lng=114.1740697
dir-487	zh=-	en=Crystal Garden	lat=22.4826378	lng=113.9085384
dir-488	zh=-	en=Butterfly on Morrison	lat=22.2767452	lng=114.1804982
dir-489	zh=-	en=Black Swan Hotel	lat=22.3198678	lng=114.1712314
dir-490	zh=-	en=Armenia Hotel	lat=22.3179316	lng=114.1713292
dir-493	zh=浪濤軒酒店	en=Concerto Inn	lat=22.2192605	lng=114.1192557
dir-496	zh=鴻隆明華輪酒店	en=Cruise Inn	lat=22.4864306	lng=113.9120028
dir-497	zh=-	en=The Comfort Living  Inn	lat=22.3389025	lng=114.1563368
dir-498	zh=-	en=8 Days Boutiques Hotel	lat=22.3219064	lng=114.1686652
dir-503	zh=-	en=Residence G	lat=22.513241	lng=113.9150356
dir-504	zh=-	en=大埔賓館 Tai Po Villa	lat=22.4494649	lng=114.1657349
dir-507	zh=挪亞方舟度假酒店	en=Noah's Ark Hotel and Resort	lat=22.348115	lng=114.0614597
dir-509	zh=-	en=青青世界酒店	lat=22.5025031	lng=113.8966033
dir-510	zh=-	en=maylee hotel	lat=22.4897972	lng=113.9193823
dir-516	zh=海灣軒海景酒店	en=Harbourfront Horizon All-Suite	lat=22.3002646	lng=114.1849665
dir-523	zh=翡格酒店	en=The Figo	lat=22.2866276	lng=114.1471612
dir-524	zh=-	en=Homy Inn North Point	lat=22.2908591	lng=114.1981571
dir-525	zh=-	en=Asia Travel House	lat=22.3086825	lng=114.1711226
dir-531	zh=瑞生嘉威酒店	en=Soravit on Granville	lat=22.3001361	lng=114.1740905
